rho,K_eff,beta,H,beta_star
1000.0,32.134073000534656,71.80698831740096,8.441629957773804e-8,9.258508187540041
1000.0,32.134073000534656,79.98142127869323,1.3700090542935343e-8,9.258508187540041
1000.0,32.134073000534656,89.08642319719195,1.7880201955645176e-9,9.258508187540041
1000.0,32.134073000534656,99.22792907636669,1.830272985819533e-10,9.258508187540041
1000.0,32.134073000534656,110.52393345044318,1.4291679356524019e-11,9.258508187540041
1000.0,32.134073000534656,123.10586322885784,8.253500946390336e-13,9.258508187540041
1000.0,32.134073000534656,137.12010682389868,3.4055555375992483e-14,9.258508187540041
1000.0,32.134073000534656,152.72971735264952,9.625504315776486e-16,9.258508187540041
1000.0,32.134073000534656,170.11630972967308,1.7632907376935575e-17,9.258508187540041
1000.0,32.134073000534656,189.4821737227554,2.0769890986861939e-19,9.258508187540041
1000.0,32.134073000534656,211.05262755672084,1.4575769567395586e-21,9.258508187540041
1000.0,32.134073000534656,235.07863944906103,5.745289163203229e-24,9.258508187540041
1000.0,32.134073000534656,261.83974757845556,1.1911236010089307e-26,9.258508187540041
1000.0,32.134073000534656,291.64731245947826,1.2072610829162115e-29,9.258508187540041
1000.0,32.134073000534656,324.84813956425916,0.0,9.258508187540041
1000.0,32.134073000534656,361.82851433963526,0.0,9.258508187540041
1000.0,32.134073000534656,403.0186965664617,0.0,9.258508187540041
1000.0,32.134073000534656,448.89792635211717,0.0,9.258508187540041
1000.0,32.134073000534656,499.99999999999994,0.0,9.258508187540041
